,Type,Duration(us),Name
300,Conv_Forward,168.603,Conv_Forward
301,BNTraining_Forward,142.28300000000002,BNTraining_Forward
302,Relu,7.08,
303,Conv_Forward,258.80600000000004,Conv_Forward
304,BNTraining_Forward,142.123,BNTraining_Forward
305,Relu,7.06,
306,Conv_Forward,164.003,Conv_Forward
307,BNTraining_Forward,585.191,BNTraining_Forward
308,Add,9.72,
309,Relu,7.82,
310,Conv_Forward,177.74399999999997,Conv_Forward
311,BNTraining_Forward,145.482,BNTraining_Forward
312,Relu,7.18,
313,Conv_Forward,264.00500000000005,Conv_Forward
314,BNTraining_Forward,142.423,BNTraining_Forward
315,Relu,7.14,
316,Conv_Forward,163.403,Conv_Forward
317,BNTraining_Forward,580.311,BNTraining_Forward
318,Add,9.74,
319,Relu,7.82,
320,Conv_Forward,167.823,Conv_Forward
321,BNTraining_Forward,142.802,BNTraining_Forward
322,Relu,6.98,
323,Conv_Forward,257.024,Conv_Forward
324,BNTraining_Forward,141.743,BNTraining_Forward
325,Relu,8.34,
326,Conv_Forward,163.583,Conv_Forward
327,BNTraining_Forward,580.1120000000001,BNTraining_Forward
328,Add,9.7,
329,Relu,7.74,
330,Conv_Forward,169.98299999999998,Conv_Forward
331,BNTraining_Forward,142.402,BNTraining_Forward
332,Relu,7.14,
333,Conv_Forward,257.245,Conv_Forward
334,BNTraining_Forward,142.943,BNTraining_Forward
335,Relu,7.28,
336,Conv_Forward,164.524,Conv_Forward
337,BNTraining_Forward,581.491,BNTraining_Forward
338,Add,9.58,
339,Relu,7.74,
340,Conv_Forward,168.903,Conv_Forward
341,BNTraining_Forward,142.222,BNTraining_Forward
342,Relu,8.22,
343,Conv_Forward,255.945,Conv_Forward
344,BNTraining_Forward,143.502,BNTraining_Forward
345,Relu,7.16,
346,Conv_Forward,163.963,Conv_Forward
347,BNTraining_Forward,580.8309999999999,BNTraining_Forward
348,Add,9.64,
349,Relu,7.76,
350,Conv_Forward,169.645,Conv_Forward
351,BNTraining_Forward,142.602,BNTraining_Forward
352,Relu,7.6,
353,Conv_Forward,258.025,Conv_Forward
354,BNTraining_Forward,141.642,BNTraining_Forward
355,Relu,7.26,
356,Conv_Forward,163.783,Conv_Forward
357,BNTraining_Forward,581.3309999999999,BNTraining_Forward
358,Add,9.7,
359,Relu,7.78,
360,Conv_Forward,169.00400000000002,Conv_Forward
361,BNTraining_Forward,142.28199999999998,BNTraining_Forward
362,Relu,7.24,
363,Conv_Forward,256.025,Conv_Forward
364,BNTraining_Forward,142.763,BNTraining_Forward
365,Relu,7.06,
366,Conv_Forward,164.484,Conv_Forward
367,BNTraining_Forward,580.8520000000001,BNTraining_Forward
368,Add,9.74,
369,Relu,7.88,
370,Conv_Forward,168.443,Conv_Forward
371,BNTraining_Forward,144.06300000000002,BNTraining_Forward
372,Relu,7.04,
373,Conv_Forward,254.90500000000003,Conv_Forward
374,BNTraining_Forward,141.96300000000002,BNTraining_Forward
375,Relu,7.12,
376,Conv_Forward,166.403,Conv_Forward
377,BNTraining_Forward,579.971,BNTraining_Forward
378,Add,10.04,
379,Relu,7.92,
380,Conv_Forward,169.344,Conv_Forward
381,BNTraining_Forward,143.442,BNTraining_Forward
382,Relu,7.04,
383,Conv_Forward,257.785,Conv_Forward
384,BNTraining_Forward,141.92200000000003,BNTraining_Forward
385,Relu,7.24,
386,Conv_Forward,163.624,Conv_Forward
387,BNTraining_Forward,580.851,BNTraining_Forward
388,Add,9.72,
389,Relu,7.94,
390,Conv_Forward,169.564,Conv_Forward
391,BNTraining_Forward,142.40300000000002,BNTraining_Forward
392,Relu,7.24,
393,Conv_Forward,258.866,Conv_Forward
394,BNTraining_Forward,142.382,BNTraining_Forward
395,Relu,8.3,
396,Conv_Forward,163.323,Conv_Forward
397,BNTraining_Forward,579.8910000000001,BNTraining_Forward
398,Add,9.62,
399,Relu,7.74,
400,Conv_Forward,170.02400000000003,Conv_Forward
401,BNTraining_Forward,141.902,BNTraining_Forward
402,Relu,7.08,
403,Conv_Forward,258.30400000000003,Conv_Forward
404,BNTraining_Forward,141.782,BNTraining_Forward
405,Relu,7.06,
406,Conv_Forward,163.643,Conv_Forward
407,BNTraining_Forward,580.431,BNTraining_Forward
408,Add,9.7,
409,Relu,7.8,
410,Conv_Forward,169.62300000000002,Conv_Forward
411,BNTraining_Forward,148.023,BNTraining_Forward
412,Relu,7.24,
413,Conv_Forward,255.547,Conv_Forward
414,BNTraining_Forward,141.983,BNTraining_Forward
415,Relu,7.12,
416,Conv_Forward,164.002,Conv_Forward
417,BNTraining_Forward,580.532,BNTraining_Forward
418,Add,9.68,
419,Relu,7.76,
420,Conv_Forward,170.34400000000002,Conv_Forward
421,BNTraining_Forward,145.623,BNTraining_Forward
422,Relu,7.06,
423,Conv_Forward,254.405,Conv_Forward
424,BNTraining_Forward,142.043,BNTraining_Forward
425,Relu,7.28,
426,Conv_Forward,164.364,Conv_Forward
427,BNTraining_Forward,580.6110000000001,BNTraining_Forward
428,Add,9.68,
429,Relu,7.68,
430,Conv_Forward,169.524,Conv_Forward
431,BNTraining_Forward,142.382,BNTraining_Forward
432,Relu,7.1,
433,Conv_Forward,258.245,Conv_Forward
434,BNTraining_Forward,142.28199999999998,BNTraining_Forward
435,Relu,7.12,
436,Conv_Forward,163.263,Conv_Forward
437,BNTraining_Forward,579.791,BNTraining_Forward
438,Add,9.64,
439,Relu,7.78,
440,Conv_Forward,168.16400000000002,Conv_Forward
441,BNTraining_Forward,142.482,BNTraining_Forward
442,Relu,7.1,
443,Conv_Forward,257.824,Conv_Forward
444,BNTraining_Forward,143.422,BNTraining_Forward
445,Relu,7.18,
446,Conv_Forward,164.924,Conv_Forward
447,BNTraining_Forward,580.432,BNTraining_Forward
448,Add,9.64,
449,Relu,7.62,
450,Conv_Forward,168.744,Conv_Forward
451,BNTraining_Forward,142.562,BNTraining_Forward
452,Relu,7.34,
453,Conv_Forward,257.364,Conv_Forward
454,BNTraining_Forward,142.44299999999998,BNTraining_Forward
455,Relu,7.18,
456,Conv_Forward,164.363,Conv_Forward
457,BNTraining_Forward,581.251,BNTraining_Forward
458,Add,9.68,
459,Relu,7.78,
460,Conv_Forward,169.56199999999998,Conv_Forward
461,BNTraining_Forward,143.242,BNTraining_Forward
462,Relu,7.18,
463,Conv_Forward,255.465,Conv_Forward
464,BNTraining_Forward,141.843,BNTraining_Forward
465,Relu,7.08,
466,Conv_Forward,165.22299999999998,Conv_Forward
467,BNTraining_Forward,580.252,BNTraining_Forward
468,Add,9.6,
469,Relu,7.84,
470,Conv_Forward,168.90400000000002,Conv_Forward
471,BNTraining_Forward,142.18200000000002,BNTraining_Forward
472,Relu,7.5,
473,Conv_Forward,255.485,Conv_Forward
474,BNTraining_Forward,147.822,BNTraining_Forward
475,Relu,7.1,
476,Conv_Forward,165.92299999999997,Conv_Forward
477,BNTraining_Forward,580.4110000000001,BNTraining_Forward
478,Add,9.58,
479,Relu,7.9,
480,Conv_Forward,250.684,Conv_Forward
481,BNTraining_Forward,346.12699999999995,BNTraining_Forward
482,Relu,7.56,
483,Conv_Forward,831.276,Conv_Forward
484,BNTraining_Forward,196.243,BNTraining_Forward
485,Relu,8.04,
486,Conv_Forward,345.467,Conv_Forward
487,BNTraining_Forward,192.50300000000001,BNTraining_Forward
488,Conv_Forward,682.773,Conv_Forward
489,BNTraining_Forward,200.76399999999998,BNTraining_Forward
490,Add,9.1,
491,Relu,7.46,
492,Conv_Forward,323.126,Conv_Forward
493,BNTraining_Forward,191.38299999999998,BNTraining_Forward
494,Relu,7.04,
495,Conv_Forward,800.036,Conv_Forward
496,BNTraining_Forward,197.803,BNTraining_Forward
497,Relu,7.0,
498,Conv_Forward,339.446,Conv_Forward
499,BNTraining_Forward,196.444,BNTraining_Forward
500,Add,8.54,
501,Relu,7.58,
502,Conv_Forward,322.826,Conv_Forward
503,BNTraining_Forward,194.04399999999998,BNTraining_Forward
504,Relu,6.94,
505,Conv_Forward,795.576,Conv_Forward
506,BNTraining_Forward,196.703,BNTraining_Forward
507,Relu,6.98,
508,Conv_Forward,335.08599999999996,Conv_Forward
509,BNTraining_Forward,194.263,BNTraining_Forward
510,Add,9.14,
511,Relu,7.56,
512,ReduceMean,11.66,
513,MatMulV2,8.18,
514,MakeLoss,73.06,MakeLoss
515,MatMulV2_dW,26.52,MatMulV2_dW
516,MatMulV2_dx,34.4,MatMulV2_dx
517,ReduceSum_db,23.18,ReduceSum_db
518,Fill,7.08,
519,Mul,9.0,
520,ReluGrad,11.74,
521,BNTrainingGrad,376.747,BNTrainingGrad
522,Conv2DBackpropInput,660.5319999999999,Conv2DBackpropInput
523,Conv2DBackpropFilter,245.844,Conv2DBackpropFilter
524,ReluGrad,9.1,
525,BNTrainingGrad,128.262,BNTrainingGrad
526,Conv2DBackpropInput,1653.3519999999999,Conv2DBackpropInput
527,Conv2DBackpropFilter,583.351,Conv2DBackpropFilter
528,ReluGrad,8.38,
529,BNTrainingGrad,129.402,BNTrainingGrad
530,Conv2DBackpropInput,716.4730000000001,Conv2DBackpropInput
531,Conv2DBackpropFilter,242.704,Conv2DBackpropFilter
532,Add,8.54,
533,ReluGrad,12.001,
534,BNTrainingGrad,374.807,BNTrainingGrad
535,Conv2DBackpropInput,653.3919999999999,Conv2DBackpropInput
536,Conv2DBackpropFilter,243.024,Conv2DBackpropFilter
537,ReluGrad,8.5,
538,BNTrainingGrad,129.282,BNTrainingGrad
539,Conv2DBackpropInput,1649.813,Conv2DBackpropInput
540,Conv2DBackpropFilter,568.671,Conv2DBackpropFilter
541,ReluGrad,8.34,
542,BNTrainingGrad,129.22199999999998,BNTrainingGrad
543,Conv2DBackpropInput,717.195,Conv2DBackpropInput
544,Conv2DBackpropFilter,244.00400000000002,Conv2DBackpropFilter
545,Add,9.56,
546,ReluGrad,11.92,
547,BNTrainingGrad,375.647,BNTrainingGrad
548,Conv2DBackpropInput,1564.5320000000002,Conv2DBackpropInput
549,Conv2DBackpropFilter,461.268,Conv2DBackpropFilter
550,BNTrainingGrad,378.347,BNTrainingGrad
551,Conv2DBackpropInput,653.7919999999999,Conv2DBackpropInput
552,Conv2DBackpropFilter,242.12400000000002,Conv2DBackpropFilter
553,ReluGrad,8.42,
554,BNTrainingGrad,128.622,BNTrainingGrad
555,Conv2DBackpropInput,1621.8730000000003,Conv2DBackpropInput
556,Conv2DBackpropFilter,575.772,Conv2DBackpropFilter
557,ReluGrad,12.42,
558,BNTrainingGrad,433.83,BNTrainingGrad
559,Conv2DBackpropInput,528.371,Conv2DBackpropInput
560,Conv2DBackpropFilter,171.664,Conv2DBackpropFilter
561,Add,9.54,
562,ReluGrad,13.92,
563,BNTrainingGrad,694.854,BNTrainingGrad
564,Conv2DBackpropInput,286.246,Conv2DBackpropInput
565,Conv2DBackpropFilter,130.08200000000002,Conv2DBackpropFilter
566,ReluGrad,8.66,
567,BNTrainingGrad,207.765,BNTrainingGrad
568,Conv2DBackpropInput,462.869,Conv2DBackpropInput
569,Conv2DBackpropFilter,141.623,Conv2DBackpropFilter
570,ReluGrad,9.14,
571,BNTrainingGrad,204.524,BNTrainingGrad
572,Conv2DBackpropInput,307.227,Conv2DBackpropInput
573,Conv2DBackpropFilter,99.40200000000002,Conv2DBackpropFilter
574,Add,9.56,
575,ReluGrad,13.92,
576,BNTrainingGrad,695.674,BNTrainingGrad
577,Conv2DBackpropInput,285.165,Conv2DBackpropInput
578,Conv2DBackpropFilter,123.60200000000002,Conv2DBackpropFilter
579,ReluGrad,8.58,
580,BNTrainingGrad,204.10399999999998,BNTrainingGrad
581,Conv2DBackpropInput,464.308,Conv2DBackpropInput
582,Conv2DBackpropFilter,143.482,Conv2DBackpropFilter
583,ReluGrad,8.48,
584,BNTrainingGrad,204.404,BNTrainingGrad
585,Conv2DBackpropInput,306.707,Conv2DBackpropInput
586,Conv2DBackpropFilter,97.801,Conv2DBackpropFilter
587,Add,9.52,
588,ReluGrad,14.3,
589,BNTrainingGrad,695.114,BNTrainingGrad
590,Conv2DBackpropInput,286.385,Conv2DBackpropInput
591,Conv2DBackpropFilter,124.78200000000001,Conv2DBackpropFilter
592,ReluGrad,14.28,
593,BNTrainingGrad,204.00400000000002,BNTrainingGrad
594,Conv2DBackpropInput,461.328,Conv2DBackpropInput
595,Conv2DBackpropFilter,142.103,Conv2DBackpropFilter
596,ReluGrad,8.46,
597,BNTrainingGrad,204.423,BNTrainingGrad
598,Conv2DBackpropInput,306.946,Conv2DBackpropInput
599,Conv2DBackpropFilter,96.902,Conv2DBackpropFilter
600,Add,9.48,
601,ReluGrad,13.86,
602,BNTrainingGrad,695.374,BNTrainingGrad
603,Conv2DBackpropInput,288.54600000000005,Conv2DBackpropInput
604,Conv2DBackpropFilter,125.742,Conv2DBackpropFilter
605,ReluGrad,8.56,
606,BNTrainingGrad,204.62400000000002,BNTrainingGrad
607,Conv2DBackpropInput,461.74800000000005,Conv2DBackpropInput
608,Conv2DBackpropFilter,141.563,Conv2DBackpropFilter
609,ReluGrad,8.5,
610,BNTrainingGrad,204.704,BNTrainingGrad
611,Conv2DBackpropInput,305.946,Conv2DBackpropInput
612,Conv2DBackpropFilter,96.941,Conv2DBackpropFilter
613,Add,9.64,
614,ReluGrad,13.98,
615,BNTrainingGrad,694.575,BNTrainingGrad
616,Conv2DBackpropInput,286.826,Conv2DBackpropInput
617,Conv2DBackpropFilter,125.882,Conv2DBackpropFilter
618,ReluGrad,8.6,
619,BNTrainingGrad,204.94299999999998,BNTrainingGrad
620,Conv2DBackpropInput,460.748,Conv2DBackpropInput
