ID,Type,Duration(ms)
246,Conv_Forward,0.165003
247,BNTraining_Forward,0.580052
248,Add,0.00966
249,Relu,0.00774
250,Conv_Forward,0.168403
251,BNTraining_Forward,0.142322
253,Conv_Forward,0.257784
254,BNTraining_Forward,0.142182
256,Conv_Forward,0.16342399999999999
257,BNTraining_Forward,0.581711
258,Add,0.009640000000000001
259,Relu,0.0078
260,Conv_Forward,0.168823
261,BNTraining_Forward,0.143003
263,Conv_Forward,0.25536600000000004
264,BNTraining_Forward,0.142063
266,Conv_Forward,0.164603
267,BNTraining_Forward,0.580692
268,Add,0.010119999999999999
269,Relu,0.00762
270,Conv_Forward,0.169203
271,BNTraining_Forward,0.142642
273,Conv_Forward,0.257985
274,BNTraining_Forward,0.142582
276,Conv_Forward,0.16254400000000002
277,BNTraining_Forward,0.580451
278,Add,0.009640000000000001
279,Relu,0.00796
280,Conv_Forward,0.16924300000000003
281,BNTraining_Forward,0.142182
283,Conv_Forward,0.256865
284,BNTraining_Forward,0.142102
286,Conv_Forward,0.16480200000000003
287,BNTraining_Forward,0.580832
288,Add,0.009779999999999999
289,Relu,0.008
290,Conv_Forward,0.169103
291,BNTraining_Forward,0.141963
293,Conv_Forward,0.25740399999999997
294,BNTraining_Forward,0.14274199999999998
296,Conv_Forward,0.163303
297,BNTraining_Forward,0.5805119999999999
298,Add,0.0096
299,Relu,0.00792
300,Conv_Forward,0.168603
301,BNTraining_Forward,0.14228300000000002
303,Conv_Forward,0.25880600000000004
304,BNTraining_Forward,0.142123
306,Conv_Forward,0.16400299999999998
307,BNTraining_Forward,0.585191
308,Add,0.009720000000000001
309,Relu,0.00782
310,Conv_Forward,0.17774399999999996
311,BNTraining_Forward,0.145482
313,Conv_Forward,0.26400500000000005
314,BNTraining_Forward,0.142423
316,Conv_Forward,0.163403
317,BNTraining_Forward,0.580311
318,Add,0.00974
319,Relu,0.00782
320,Conv_Forward,0.167823
321,BNTraining_Forward,0.14280199999999998
323,Conv_Forward,0.257024
324,BNTraining_Forward,0.141743
326,Conv_Forward,0.163583
327,BNTraining_Forward,0.5801120000000001
328,Add,0.009699999999999999
329,Relu,0.00774
330,Conv_Forward,0.16998299999999997
331,BNTraining_Forward,0.14240199999999997
333,Conv_Forward,0.257245
334,BNTraining_Forward,0.14294300000000001
336,Conv_Forward,0.164524
337,BNTraining_Forward,0.581491
338,Add,0.00958
339,Relu,0.00774
340,Conv_Forward,0.168903
341,BNTraining_Forward,0.14222200000000002
343,Conv_Forward,0.255945
344,BNTraining_Forward,0.14350200000000002
346,Conv_Forward,0.163963
347,BNTraining_Forward,0.5808309999999999
348,Add,0.009640000000000001
349,Relu,0.0077599999999999995
350,Conv_Forward,0.16964500000000002
351,BNTraining_Forward,0.142602
353,Conv_Forward,0.258025
354,BNTraining_Forward,0.141642
356,Conv_Forward,0.16378299999999998
357,BNTraining_Forward,0.5813309999999999
358,Add,0.009699999999999999
359,Relu,0.0077800000000000005
360,Conv_Forward,0.16900400000000002
361,BNTraining_Forward,0.142282
363,Conv_Forward,0.256025
364,BNTraining_Forward,0.142763
366,Conv_Forward,0.16448400000000002
367,BNTraining_Forward,0.580852
368,Add,0.00974
369,Relu,0.00788
370,Conv_Forward,0.168443
371,BNTraining_Forward,0.14406300000000002
373,Conv_Forward,0.25490500000000005
374,BNTraining_Forward,0.14196300000000003
376,Conv_Forward,0.166403
