tensor_id,size_B,birth_kid,death_kid,hidden_interval_num,inactive_time
810,4096,133,613,1,134898.0
818,1474560,135,608,1,133978.0
821,7077888,609,616,1,1178.5
822,1474560,136,606,1,133201.0
828,1474560,136,608,1,133688.0
829,4096,136,608,1,133688.0
837,1474560,138,603,1,132567.0
841,1474560,139,601,1,131949.0
847,1474560,139,603,1,132290.0
848,4096,139,603,1,132290.0
856,1769472,141,598,1,131164.0
860,1769472,142,596,2,3698.43
866,1769472,142,598,1,131002.0
867,4096,142,598,1,131002.0
875,1474560,144,593,1,129740.0
878,7077888,594,616,1,3690.29
879,1474560,145,591,1,129230.0
885,1474560,145,593,1,129578.0
886,4096,145,593,1,129578.0
894,1474560,147,588,1,128391.0
898,1474560,148,586,1,127951.0
904,1474560,148,588,1,128210.0
905,4096,148,588,1,128210.0
913,1474560,150,583,1,127219.0
917,1474560,151,581,1,126607.0
923,1474560,151,583,1,127071.0
924,4096,151,583,1,127071.0
932,1474560,153,578,1,125698.0
936,1474560,154,576,1,125201.0
942,1474560,154,578,1,125540.0
943,4096,154,578,1,125540.0
951,1769472,156,573,1,124420.0
955,1769472,157,571,2,1197.08
961,1769472,157,573,1,124246.0
962,4096,157,573,1,124246.0
970,7077888,159,569,1,121199.0
971,7077888,569,616,1,7948.59
972,1769472,160,567,1,120433.0
976,1769472,161,565,1,120212.0
982,1769472,161,567,1,120261.0
983,4096,161,567,1,120261.0
991,1769472,563,611,1,9532.6
992,1769472,563,596,1,7020.82
993,1769472,563,571,1,2762.52
995,7077888,163,562,6,328.786
996,1769472,164,560,1,119045.0
1000,1769472,165,558,2,5021.3
1006,1769472,165,560,1,118770.0
1007,4096,165,560,1,118770.0
1015,1474560,167,555,1,117547.0
1018,7077888,556,563,1,968.96
1019,1474560,168,553,1,117027.0
1025,1474560,168,555,1,117296.0
1026,4096,168,555,1,117296.0
1034,1474560,170,550,1,116403.0
1038,1474560,171,548,1,115765.0
1044,1474560,171,550,1,116146.0
1045,4096,171,550,1,116146.0
1053,1769472,173,545,1,115082.0
1057,1769472,174,543,2,3757.67
1063,1769472,174,545,1,114712.0
1064,4096,174,545,1,114712.0
1072,1474560,176,540,1,113567.0
1075,7077888,541,563,1,3783.58
1076,1474560,177,538,1,113007.0
1082,1474560,177,540,1,113419.0
1083,4096,177,540,1,113419.0
1091,1474560,179,535,1,112172.0
1095,1474560,180,533,1,111649.0
1101,1474560,180,535,1,112019.0
1102,4096,180,535,1,112019.0
1110,1474560,182,530,1,110976.0
1114,1474560,183,528,1,110166.0
1120,1474560,183,530,1,110719.0
1121,4096,183,530,1,110719.0
1129,1474560,185,525,1,109319.0
1133,1474560,186,523,1,108751.0
1139,1474560,186,525,1,109170.0
1140,4096,186,525,1,109170.0
1148,1769472,188,520,1,108023.0
1152,1769472,189,518,2,1063.22
1158,1769472,189,520,1,107802.0
1159,4096,189,520,1,107802.0
1167,7077888,191,516,1,105100.0
1168,7077888,516,563,1,7946.4
1169,1769472,192,514,1,103885.0
1173,1769472,193,512,1,103559.0
1179,1769472,193,514,1,103615.0
1180,4096,193,514,1,103615.0
1188,1769472,510,558,1,10096.9
1189,1769472,510,543,1,7282.26
1190,1769472,510,518,1,3119.44
1192,7077888,195,509,6,299.126
1193,1769472,196,507,1,102033.0
1197,1769472,197,505,2,5718.41
1203,1769472,197,507,1,101729.0
1204,4096,197,507,1,101729.0
1212,1769472,199,502,1,100473.0
1215,7077888,503,510,1,1158.81
1216,1769472,200,500,1,99632.7
1222,1769472,200,502,1,100307.0
1223,4096,200,502,1,100307.0
1231,1769472,202,497,1,98762.8
1235,1769472,203,495,1,98224.9
1241,1769472,203,497,1,98598.7
1242,4096,203,497,1,98598.7
1250,1769472,205,492,1,97031.3
1254,1769472,206,490,2,3860.12
1260,1769472,206,492,1,96743.6
1261,4096,206,492,1,96743.6
1269,1769472,208,487,1,95377.7
1272,7077888,488,510,1,4248.79
1273,1769472,209,485,1,94837.8
1279,1769472,209,487,1,95210.4
1280,4096,209,487,1,95210.4
1288,1769472,211,482,1,94007.3
1292,1769472,212,480,1,93011.4
1298,1769472,212,482,1,93726.1
1299,4096,212,482,1,93726.1
1307,1769472,214,477,1,92300.5
1311,1769472,215,475,1,91676.5
1317,1769472,215,477,1,92049.6
1318,4096,215,477,1,92049.6
1326,1769472,217,472,1,90872.8
1330,1769472,218,470,1,89914.7
1336,1769472,218,472,1,90566.5
1337,4096,218,472,1,90566.5
1345,1769472,220,467,1,89143.9
1349,1769472,221,465,2,1060.8
1355,1769472,221,467,1,88858.5
1356,4096,221,467,1,88858.5
1364,7077888,223,463,1,86951.4
1365,7077888,463,510,1,9320.74
1366,1769472,224,461,1,86018.4
1370,1769472,225,459,1,85649.8
