Step Id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
8,4294967295,37658,2,aclnnBatchNormBackward_BNTrainingReduceGrad_BNTrainingReduceGrad,BNTrainingReduceGrad,dynamic,AI_VECTOR_CORE,1772175693776691.960	,94.82,0.02,40,0,NO,"""128,128,17,17;128,128,17,17;1,128,1,1;1,128,1,1;1,128,1,1;1,128,1,1;1,128,1,1""",FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW;NCHW;NCHW;NCHW,"""128,128,17,17""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.335,6504118,60.981,0.675,34.108,0.378,12.441,0.138,10.723,0.119,0.007,0
8,4294967295,37659,2,trans_TransData_54,TransData,dynamic,AI_VECTOR_CORE,1772175693776786.800	,18.24,0.02,26,0,NO,"""128,128,7,1""",FLOAT,NCHW,"""112,8,16,8""",FLOAT,FRACTAL_Z,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.654,732594,2.14,0.137,7.428,0.475,0.458,0.029,0.885,0.057,0.07,0
8,4294967295,37660,2,trans_TransData_55,TransData,dynamic,AI_VECTOR_CORE,1772175693776805.060	,33.54,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.966,1783657,3.073,0.099,5.387,0.174,21.078,0.681,6.29,0.203,0.012,0
8,4294967295,37661,2,Conv2DBackpropInput19,Conv2DBackpropInput,dynamic,AI_CORE,1772175693776838.620	,122.64,0.02,20,0,YES,"""4;112,8,16,8;128,16,17,17,8""",INT32;FLOAT;FLOAT,NCHW;FRACTAL_Z;NC1HWC0,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,118.531,4267129,72.907,0.615,78.083,0.659,100.376,0.847,37.275,0.314,20.415,0.172,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.65
8,4294967295,37662,2,trans_TransData_56,TransData,dynamic,AI_VECTOR_CORE,1772175693776961.280	,30.58,0.02,32,0,NO,"""128,16,17,17,8""",FLOAT,NC1HWC0,"""128,128,17,17""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.731,1597317,3.807,0.137,4.015,0.145,4.812,0.174,15.46,0.557,0.016,0
8,4294967295,37663,2,trans_TransData_57,TransData,dynamic,AI_VECTOR_CORE,1772175693776991.880	,45.24,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.775,2406245,3.073,0.074,5.33,0.128,35.777,0.856,5.484,0.131,0.004,0
8,4294967295,37664,2,trans_TransData_58,TransData,dynamic,AI_VECTOR_CORE,1772175693777037.140	,25.08,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,1310398,3.073,0.135,5.795,0.255,16.351,0.719,6.397,0.281,0.0,0
8,4294967295,37665,2,Conv2DBackpropFilter20_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175693777062.240	,21.86,0.02,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.825,1283415,0.052,0.003,3.892,0.218,6.16,0.346,1.012,0.057,0.419,0
8,4294967295,37666,2,Conv2DBackpropFilter20,Conv2DBackpropFilter,dynamic,AI_CORE,1772175693777084.120	,88.4,0.02,20,0,YES,"""128,16,17,17,8;4;128,16,17,17,8""",FLOAT;INT32;FLOAT,NC1HWC0;NCHW;NC1HWC0,"""112,8,16,8""",FLOAT,FRACTAL_Z,N/A,83.075,2990705,64.38,0.775,73.047,0.879,63.962,0.77,40.086,0.483,7.806,0.094,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.976
8,4294967295,37667,2,trans_TransData_59,TransData,dynamic,AI_VECTOR_CORE,1772175693777172.560	,13.6,0.04,26,0,NO,"""112,8,16,8""",FLOAT,FRACTAL_Z,"""128,128,7,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.585,495366,2.3,0.217,5.716,0.54,0.763,0.072,0.231,0.022,0.064,0
8,4294967295,37668,2,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1772175693777186.200	,7.96,0.04,40,0,NO,"""128,128,7,1""",FLOAT,NCHW,"""128,128,7,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.745,413674,0.008,0.001,0.18,0.031,1.689,0.294,0.643,0.112,0.231,0
8,4294967295,37669,2,aclnnThresholdBackward_ReluGrad_ReluGrad,ReluGrad,dynamic,AI_VECTOR_CORE,1772175693777194.180	,22.86,0.02,40,0,NO,"""128,128,17,17;128,128,17,17""",FLOAT;FLOAT,NCHW;NCHW,"""128,128,17,17""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.955,1508793,3.742,0.179,1.66,0.079,12.974,0.619,5.784,0.276,0.028,0
8,4294967295,37670,2,aclnnBatchNormBackward_BNTrainingUpdateGrad_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175693777217.080	,14.52,0.04,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48,754558,0.014,0.001,0.57,0.054,0.643,0.061,0.007,0.001,0.482,0
8,4294967295,37671,2,aclnnBatchNormBackward_BNTrainingUpdateGrad_BNTrainingUpdateGrad,BNTrainingUpdateGrad,dynamic,AI_VECTOR_CORE,1772175693777231.620	,139.88,0.02,40,0,NO,"""128,128,17,17;128,128,17,17;1,128,1,1;1,128,1,1""",FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW,"""1,128,1,1;1,128,1,1""",FLOAT;FLOAT,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.236,8584972,49.887,0.418,41.774,0.35,48.08,0.403,0.389,0.003,0.006,0
8,4294967295,37672,2,aclnnBatchNormBackward_BNTrainingReduceGrad_BNTrainingReduceGrad,BNTrainingReduceGrad,dynamic,AI_VECTOR_CORE,1772175693777371.520	,91.98,0.02,40,0,NO,"""128,128,17,17;128,128,17,17;1,128,1,1;1,128,1,1;1,128,1,1;1,128,1,1;1,128,1,1""",FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW;NCHW;NCHW;NCHW,"""128,128,17,17""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.008,6264605,60.98,0.701,34.626,0.398,11.481,0.132,10.19,0.117,0.007,0
8,4294967295,37673,2,trans_TransData_60,TransData,dynamic,AI_VECTOR_CORE,1772175693777463.540	,18.62,0.04,26,0,NO,"""128,128,1,7""",FLOAT,NCHW,"""112,8,16,8""",FLOAT,FRACTAL_Z,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.087,752861,2.143,0.133,7.553,0.469,0.515,0.032,0.879,0.055,0.069,0
8,4294967295,37674,2,trans_TransData_61,TransData,dynamic,AI_VECTOR_CORE,1772175693777482.180	,33.4,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.156,1794593,3.073,0.099,5.153,0.165,21.277,0.683,6.25,0.201,0.013,0
8,4294967295,37675,2,Conv2DBackpropInput21,Conv2DBackpropInput,dynamic,AI_CORE,1772175693777515.600	,122.48,0.02,20,0,YES,"""4;112,8,16,8;128,16,17,17,8""",INT32;FLOAT;FLOAT,NCHW;FRACTAL_Z;NC1HWC0,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,118.375,4261499,72.755,0.615,77.982,0.659,99.979,0.845,36.642,0.31,20.347,0.172,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.648
8,4294967295,37676,2,trans_TransData_62,TransData,dynamic,AI_VECTOR_CORE,1772175693777638.100	,30.44,0.02,32,0,NO,"""128,16,17,17,8""",FLOAT,NC1HWC0,"""128,128,17,17""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.807,1601659,3.807,0.137,3.976,0.143,4.878,0.175,15.563,0.56,0.016,0
8,4294967295,37677,2,trans_TransData_63,TransData,dynamic,AI_VECTOR_CORE,1772175693777668.560	,40.56,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.158,2197873,3.073,0.081,5.782,0.152,31.727,0.831,5.634,0.148,0.004,0
8,4294967295,37678,2,trans_TransData_64,TransData,dynamic,AI_VECTOR_CORE,1772175693777709.140	,24.78,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.34,1286794,3.073,0.138,5.508,0.247,16.225,0.726,6.387,0.286,0.0,0
8,4294967295,37679,2,Conv2DBackpropFilter22_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175693777733.940	,14.14,0.02,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.126,729082,0.052,0.005,0.319,0.031,0.646,0.064,1.71,0.169,0.422,0
8,4294967295,37680,2,Conv2DBackpropFilter22,Conv2DBackpropFilter,dynamic,AI_CORE,1772175693777748.120	,88.58,0.04,20,0,YES,"""128,16,17,17,8;4;128,16,17,17,8""",FLOAT;INT32;FLOAT,NC1HWC0;NCHW;NC1HWC0,"""112,8,16,8""",FLOAT,FRACTAL_Z,N/A,82.656,2975623,64.269,0.778,72.946,0.883,62.203,0.753,39.908,0.483,7.662,0.093,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.312
8,4294967295,37681,2,trans_TransData_65,TransData,dynamic,AI_VECTOR_CORE,1772175693777836.720	,13.62,0.02,26,0,NO,"""112,8,16,8""",FLOAT,FRACTAL_Z,"""128,128,1,7""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.504,491585,2.3,0.219,5.598,0.533,0.867,0.083,0.202,0.019,0.064,0
8,4294967295,37682,2,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1772175693777850.360	,8.34,0.02,40,0,NO,"""128,128,1,7""",FLOAT,NCHW,"""128,128,1,7""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.928,426800,0.008,0.001,0.174,0.029,1.712,0.289,0.832,0.14,0.242,0
8,4294967295,37683,2,aclnnThresholdBackward_ReluGrad_ReluGrad,ReluGrad,dynamic,AI_VECTOR_CORE,1772175693777858.720	,23.24,0.02,40,0,NO,"""128,128,17,17;128,128,17,17""",FLOAT;FLOAT,NCHW;NCHW,"""128,128,17,17""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.452,1544510,3.742,0.174,1.661,0.077,13.575,0.633,6.211,0.29,0.028,0
8,4294967295,37684,2,aclnnBatchNormBackward_BNTrainingUpdateGrad_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175693777881.980	,14.18,0.02,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.174,732506,0.014,0.001,0.583,0.057,0.611,0.06,0.007,0.001,0.481,0
8,4294967295,37685,2,aclnnBatchNormBackward_BNTrainingUpdateGrad_BNTrainingUpdateGrad,BNTrainingUpdateGrad,dynamic,AI_VECTOR_CORE,1772175693777896.180	,137.8,0.02,40,0,NO,"""128,128,17,17;128,128,17,17;1,128,1,1;1,128,1,1""",FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW,"""1,128,1,1;1,128,1,1""",FLOAT;FLOAT,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.581,8465811,49.887,0.424,42.831,0.364,47.182,0.401,0.361,0.003,0.006,0
8,4294967295,37686,2,aclnnBatchNormBackward_BNTrainingReduceGrad_BNTrainingReduceGrad,BNTrainingReduceGrad,dynamic,AI_VECTOR_CORE,1772175693778034.000	,93.8,0.02,40,0,NO,"""128,128,17,17;128,128,17,17;1,128,1,1;1,128,1,1;1,128,1,1;1,128,1,1;1,128,1,1""",FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW;NCHW;NCHW;NCHW,"""128,128,17,17""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.596,6450882,60.98,0.681,34.062,0.38,12.271,0.137,10.481,0.117,0.007,0
8,4294967295,37687,2,trans_TransData_54,TransData,dynamic,AI_VECTOR_CORE,1772175693778127.820	,19.98,0.02,26,0,NO,"""128,128,7,1""",FLOAT,NCHW,"""112,8,16,8""",FLOAT,FRACTAL_Z,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.439,816146,2.143,0.123,7.478,0.429,0.478,0.027,0.895,0.051,0.069,0
8,4294967295,37688,2,trans_TransData_55,TransData,dynamic,AI_VECTOR_CORE,1772175693778147.820	,33.54,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.086,1790570,3.073,0.099,5.365,0.173,21.197,0.682,6.367,0.205,0.013,0
8,4294967295,37689,2,Conv2DBackpropInput19,Conv2DBackpropInput,dynamic,AI_CORE,1772175693778181.400	,122.92,0.04,20,0,YES,"""4;112,8,16,8;128,16,17,17,8""",INT32;FLOAT;FLOAT,NCHW;FRACTAL_Z;NC1HWC0,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,118.561,4268195,72.905,0.615,78.002,0.658,100.367,0.847,37.712,0.318,20.355,0.172,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.454
8,4294967295,37690,2,trans_TransData_56,TransData,dynamic,AI_VECTOR_CORE,1772175693778304.340	,30.72,0.02,32,0,NO,"""128,16,17,17,8""",FLOAT,NC1HWC0,"""128,128,17,17""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.825,1602719,3.807,0.137,4.023,0.145,4.834,0.174,15.558,0.559,0.015,0
8,4294967295,37691,2,trans_TransData_57,TransData,dynamic,AI_VECTOR_CORE,1772175693778335.080	,50.62,0.02,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,2741780,3.073,0.065,5.329,0.112,41.623,0.874,5.482,0.115,0.004,0
8,4294967295,37692,2,trans_TransData_58,TransData,dynamic,AI_VECTOR_CORE,1772175693778385.740	,24.26,0.04,32,0,NO,"""128,128,17,17""",FLOAT,NCHW,"""128,16,17,17,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.207,1279129,3.073,0.138,5.493,0.247,16.108,0.725,6.297,0.284,0.0,0
8,4294967295,37693,2,Conv2DBackpropFilter20_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175693778410.020	,13.9,0.02,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.867,710390,0.052,0.005,0.35,0.035,0.775,0.079,1.221,0.124,0.423,0
8,4294967295,37694,2,Conv2DBackpropFilter20,Conv2DBackpropFilter,dynamic,AI_CORE,1772175693778423.940	,87.8,0.02,20,0,YES,"""128,16,17,17,8;4;128,16,17,17,8""",FLOAT;INT32;FLOAT,NC1HWC0;NCHW;NC1HWC0,"""112,8,16,8""",FLOAT,FRACTAL_Z,N/A,82.177,2958387,64.373,0.783,72.076,0.877,64.111,0.78,39.929,0.486,7.739,0.094,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.596
8,4294967295,37695,2,trans_TransData_59,TransData,dynamic,AI_VECTOR_CORE,1772175693778511.760	,13.62,0.02,26,0,NO,"""112,8,16,8""",FLOAT,FRACTAL_Z,"""128,128,7,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.538,493175,2.3,0.218,5.727,0.543,0.826,0.078,0.198,0.019,0.065,0
8,4294967295,37696,2,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1772175693778525.420	,8.36,0.04,40,0,NO,"""128,128,7,1""",FLOAT,NCHW,"""128,128,7,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.651,406868,0.008,0.001,0.186,0.033,1.337,0.237,0.477,0.084,0.251,0
8,4294967295,37697,2,aclnnThresholdBackward_ReluGrad_ReluGrad,ReluGrad,dynamic,AI_VECTOR_CORE,1772175693778533.800	,23.28,0.02,40,0,NO,"""128,128,17,17;128,128,17,17""",FLOAT;FLOAT,NCHW;NCHW,"""128,128,17,17""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.446,1544092,3.742,0.174,1.666,0.078,13.364,0.623,5.737,0.268,0.028,0
8,4294967295,37698,2,aclnnBatchNormBackward_BNTrainingUpdateGrad_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175693778557.100	,14.06,0.02,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.024,721749,0.014,0.001,0.565,0.056,0.587,0.059,0.007,0.001,0.481,0
