,Type,Duration(ms)
200,BNTraining_Forward,0.15998
201,Relu,0.016579999999999998
202,Conv_Forward,0.35470000000000007
203,BNTraining_Forward,0.16462000000000002
204,Relu,0.016300000000000002
205,Conv_Forward,0.35761999999999994
206,BNTraining_Forward,0.15930000000000002
207,Relu,0.015880000000000002
208,Conv_Forward,0.6914600000000002
209,BNTraining_Forward,0.1615
210,Relu,0.01662
211,Conv_Forward,0.35868000000000005
212,BNTraining_Forward,0.15932
213,Relu,0.016300000000000002
214,Conv_Forward,0.35381999999999997
215,BNTraining_Forward,0.15860000000000002
216,Relu,0.01616
217,Conv_Forward,0.36466
218,BNTraining_Forward,0.15990000000000001
219,Relu,0.01582
220,Conv_Forward,0.35652
221,BNTraining_Forward,0.15972
222,Relu,0.01604
223,AvgPool_Forward,0.86454
224,Conv_Forward,0.49338
225,BNTraining_Forward,0.16025999999999999
226,Relu,0.01632
227,ConcatD,0.24736000000000002
228,Conv_Forward,0.5424000000000001
229,BNTraining_Forward,0.16128
230,Relu,0.01604
231,Conv_Forward,0.23712
232,BNTraining_Forward,0.099
233,Relu,0.0096
234,Conv_Forward,0.6726599999999999
235,BNTraining_Forward,0.1616
236,Relu,0.01622
237,Conv_Forward,0.35404
238,BNTraining_Forward,0.16107999999999997
239,Relu,0.01598
240,Conv_Forward,0.36116
241,BNTraining_Forward,0.16156
242,Relu,0.01622
243,Conv_Forward,0.18703999999999998
244,BNTraining_Forward,0.07778
245,Relu,0.008199999999999999
246,MaxPool_Forward,1.36246
247,ConcatD,0.03712
248,Conv_Forward,0.19794
249,BNTraining_Forward,0.0997
250,Relu,0.00968
251,Conv_Forward,0.21472
252,BNTraining_Forward,0.11297999999999998
253,Relu,0.01028
254,Conv_Forward,0.2026
255,BNTraining_Forward,0.11106
256,Relu,0.010320000000000001
257,Conv_Forward,0.20006000000000002
258,BNTraining_Forward,0.11042
259,Relu,0.01034
260,ConcatD,0.02376
261,Conv_Forward,0.25742000000000004
262,BNTraining_Forward,0.12092000000000001
263,Relu,0.01122
264,Conv_Forward,0.48388000000000003
265,BNTraining_Forward,0.11170000000000001
266,Relu,0.01028
267,Conv_Forward,0.20148000000000002
268,BNTraining_Forward,0.11194
269,Relu,0.01046
270,Conv_Forward,0.19907999999999998
271,BNTraining_Forward,0.11288
272,Relu,0.01024
273,ConcatD,0.02072
274,AvgPool_Forward,0.5054
275,Conv_Forward,0.14386000000000002
276,BNTraining_Forward,0.07859999999999999
277,Relu,0.00828
278,ConcatD,0.12290000000000001
279,Conv_Forward,0.28204
280,BNTraining_Forward,0.09884
281,Relu,0.009640000000000001
282,Conv_Forward,0.30786
283,BNTraining_Forward,0.11164
284,Relu,0.01018
285,Conv_Forward,0.20162
286,BNTraining_Forward,0.11026
287,Relu,0.010539999999999999
288,Conv_Forward,0.20060000000000003
289,BNTraining_Forward,0.11273999999999999
290,Relu,0.01036
291,ConcatD,0.027960000000000002
292,Conv_Forward,0.39106
293,BNTraining_Forward,0.12147999999999999
294,Relu,0.01106
295,Conv_Forward,0.48382
296,BNTraining_Forward,0.11130000000000001
297,Relu,0.01038
298,Conv_Forward,0.19972000000000004
299,BNTraining_Forward,0.11209999999999999
300,Relu,0.0101
301,Conv_Forward,0.20084000000000002
302,BNTraining_Forward,0.11206
303,Relu,0.01044
304,ConcatD,0.02188
